,Titel,Schlüsselwörter
555,194938_cleaned,"[('impact spacecraft', 0.6282), ('impact mission', 0.5793), ('kometeneinschlagmission nasa', 0.5249), ('successful spacecraft', 0.5122), ('spacecraft mission', 0.5116)]"
556,8531_cleaned,"[('goldproduktion ghanas', 0.7044), ('ghanas wirtschaft', 0.6807), ('ghana wirtschaftspolitik', 0.6803), ('exportprodukt ghanas', 0.678), ('ghanaischen holzexportwirtschaft', 0.6721)]"
557,2613576_cleaned,"[('arbeitsgemeinschaft sozialdemokratischer', 0.6856), ('sozialdemokratischen arbeitsgemeinschaft', 0.6779), ('sozialdemokratische arbeitsgemeinschaft', 0.6595), ('sozialistische arbeiterbewegung', 0.639), ('sozialistische arbeiterjugend', 0.634)]"
558,265569_cleaned,"[('olympiasieg karriereende', 0.4673), ('toursieg folgenden', 0.4655), ('toursieg', 0.4585), ('cancellara sportarzt', 0.4546), ('sprinter cancellara', 0.4485)]"
559,89384_cleaned,"[('kaisernamen marcus', 0.4955), ('elagabal symbol', 0.4553), ('elagabal militärrevolte', 0.453), ('entstandene namensform', 0.4411), ('offiziellen kaisernamen', 0.4386)]"
560,5045_cleaned,"[('element technetium', 0.7027), ('elements technetium', 0.6966), ('technetium element', 0.6867), ('elementares technetium', 0.6696), ('elementarem technetium', 0.6563)]"
561,3291_cleaned,"[('planetenradius km', 0.576), ('planet sonnensystem', 0.5744), ('merkur planet', 0.5675), ('planeten planetengeologie', 0.5494), ('planet symbol', 0.5483)]"
562,826909_cleaned,"[('außenpolitisch bundesregierung', 0.6456), ('bundesarbeitsgericht bundessozialgericht', 0.6456), ('bundestagswahl bundespräsidenten', 0.6407), ('bundesregierung wirtschaftsstandort', 0.6377), ('bundesgerichtshof bundesverwaltungsgericht', 0.6345)]"
563,2430666_cleaned,"[('anthropogenic co2', 0.632), ('co2 konzentration', 0.6201), ('co2 konzentrationen', 0.6096), ('kohlenstoffdioxid co2', 0.5852), ('ocean co2', 0.5838)]"
564,83766_cleaned,"[('rechtspositivistischer menschenrechtskonzeption', 0.5653), ('rechtspositivistische rechtsbegriff', 0.5479), ('rechtspositivistischen rechtsbegriff', 0.544), ('gerechtigkeit rechtssicherheit', 0.5431), ('mehrheitlich rechtspositivistisch', 0.5411)]"
565,3320722_cleaned,"[('brücke autobahnbrücken', 0.8265), ('wiesentalbrücke autobahn', 0.8251), ('autobahnbrücken', 0.8218), ('autobahnbrücke lörracher', 0.8159), ('autobahnbrücke', 0.8145)]"
566,3838633_cleaned,"[('forschungseinrichtung hessen', 0.5593), ('geisenheim forschungsprojekte', 0.5381), ('geisenheim forschungseinrichtungen', 0.5105), ('forschungsanstalt geisenheim', 0.5049), ('landwirtschaftliches forschungsinstitut', 0.5007)]"
567,179992_cleaned,"[('giovanni segantini', 0.7666), ('segantini giovanni', 0.7468), ('segantinis giovanni', 0.7241), ('giovanni segantinis', 0.7206), ('giovanni segatini', 0.7019)]"
568,68751_cleaned,"[('trek raumschiff', 0.5361), ('raumschiff enterprise', 0.5343), ('trek enterprise', 0.5282), ('trek star', 0.5159), ('trek produktionen', 0.5141)]"
569,206698_cleaned,"[('fossils santanachelys', 0.6316), ('santana fossils', 0.6053), ('fossils santana', 0.5608), ('meeresschildkröten fossile', 0.5479), ('meeresschildkröte fossilfunde', 0.5424)]"
570,297857_cleaned,"[('muybridge fotografieren', 0.6429), ('fotografie muybridge', 0.6356), ('muybridge fotografie', 0.6189), ('muybridges fotos', 0.6146), ('muybridge photographs', 0.6026)]"
571,1414850_cleaned,"[('schlachtenbeschreibungen psychomachia', 0.745), ('psychomachia alttestamentliches', 0.6874), ('deutung psychomachia', 0.6723), ('psychomachia einleitung', 0.6715), ('kampfszenen psychomachia', 0.6592)]"
572,46418_cleaned,"[('pyridin chem', 0.6743), ('pyridine chemical', 0.6687), ('pyridin industriellen', 0.6621), ('industrie pyridin', 0.6597), ('metabolisierung pyridin', 0.6551)]"
573,988594_cleaned,"[('anderen abolitionisten', 0.5378), ('abolitionisten lincoln', 0.5356), ('whigs stevens', 0.5291), ('abolitionisten', 0.5278), ('abolitionistisches programm', 0.5203)]"
574,378192_cleaned,"[('xanten norberts', 0.6522), ('xanten magdeburg', 0.6093), ('norbert xanten', 0.6011), ('magdeburg norbert', 0.5908), ('norbert magdeburg', 0.5671)]"
575,38541_cleaned,"[('boltzmann mechanischer', 0.5931), ('boltzmann mechanische', 0.5829), ('boltzmann wahrscheinlichkeitstheoretischen', 0.5683), ('klavierlehrer boltzmann', 0.5639), ('boltzmann atomistik', 0.5555)]"
576,1522651_cleaned,"[('himmler redeverzeichnis', 0.6584), ('geheimreden himmlers', 0.6411), ('reden himmler', 0.637), ('zugegen himmler', 0.6329), ('himmlers geheimreden', 0.6318)]"
577,3132634_cleaned,"[('timoresen portugaltreuen', 0.6938), ('rebellion timoresen', 0.6922), ('timors rebellionen', 0.6903), ('timor rebellion', 0.6801), ('timorizasaun revolte', 0.6778)]"
578,4338659_cleaned,"[('barberini verlustgeschäft', 0.6573), ('barberini straßenseitigen', 0.631), ('palais barberini', 0.6306), ('barberini potsdamer', 0.6221), ('barberini potsdam', 0.6072)]"
579,157025_cleaned,"[('rafale aircraft', 0.6188), ('rafale eurofighter', 0.6183), ('rafale variante', 0.6153), ('eurofighter rafale', 0.6127), ('aviation rafale', 0.5904)]"
580,3783852_cleaned,"[('pythons pythonidae', 0.6025), ('living pythons', 0.6014), ('gelegentlich pythons', 0.5957), ('wiederansiedlungsbemühungen pythons', 0.5927), ('pythons', 0.5583)]"
581,124158_cleaned,"[('mylodontidae entre', 0.5572), ('mylodontidae gesamtlänge', 0.522), ('mylodontidae pleistocene', 0.4969), ('mylodontidae mylodontidae', 0.4942), ('mylodontidae mylodon', 0.4895)]"
582,1203276_cleaned,"[('deutscher filmpreis', 0.6609), ('deutsche filmpreis', 0.6533), ('budget filmes', 0.6466), ('filmförderungsanstalt budget', 0.6256), ('schwedischer filmpreis', 0.6144)]"
583,1003512_cleaned,"[('manns betrogene', 0.6699), ('mann betrogene', 0.6408), ('betrogene deutsche', 0.526), ('mann ironische', 0.5181), ('betrogene erzählungen', 0.5148)]"
584,6326327_cleaned,"[('limes archäologische', 0.499), ('besitzergreifung limesgebietes', 0.4895), ('limeskommission funde', 0.4805), ('untersuchungen limesbogen', 0.48), ('funktionierenden limessystem', 0.4758)]"
585,3422343_cleaned,"[('bahnhof philadelphia', 0.6526), ('philadelphia amtrak', 0.6321), ('amtrak philadelphia', 0.6269), ('station philadelphia', 0.6013), ('railroad philadelphia', 0.5832)]"
586,2146953_cleaned,"[('landschaftsschutzgebiet tiefwerder', 0.6056), ('fläche landschaftsschutzgebiet', 0.5557), ('berlin landschaftsschutzgebiet', 0.5365), ('landschaftsentwicklung berlin', 0.5359), ('zergliederte landschaftsschutzgebiet', 0.5352)]"
587,520552_cleaned,"[('girlitzes serinus', 0.6845), ('serinus girlitz', 0.6498), ('rotstirngirlitz serinus', 0.5624), ('carduelis serinus', 0.5413), ('habitate girlitzes', 0.5321)]"
588,168802_cleaned,"[('produktion erythropoetin', 0.7163), ('erythropoetin vorwiegend', 0.6967), ('erythropoetin biologische', 0.6891), ('erythropoetin erythropoetin', 0.6856), ('erythropoetins', 0.6819)]"
589,351271_cleaned,"[('haager konvention', 0.4929), ('kapitel vorschriften', 0.4897), ('archivalien unbewegliche', 0.4865), ('kulturgut haager', 0.4849), ('manuskripte archivalien', 0.4832)]"
590,751_cleaned,"[('bösartige tumorerkrankungen', 0.5568), ('brustkrebs cancer', 0.5258), ('brustdrüse tumoren', 0.5243), ('tumorerkrankungen operierte', 0.5214), ('hereditären tumorerkrankungen', 0.5183)]"
591,718933_cleaned,"[('europäischen weißkopfruderenten', 0.5466), ('körpergefieder weißkopfruderente', 0.5184), ('produktion weißkopfruderenten', 0.5124), ('männliche weißkopfruderente', 0.5097), ('weißkopfruderente ruderenten', 0.5044)]"
592,3327775_cleaned,"[('panzerschiffe brandenburg', 0.6135), ('torpedobootabwehr brandenburg', 0.6056), ('neuen panzerschiffsklasse', 0.5959), ('deutschen panzerschiffbaus', 0.5782), ('veralten panzerschiffsklasse', 0.5727)]"
593,240758_cleaned,"[('philosophischen eudaimonie', 0.5641), ('philosophischer eudaimonie', 0.535), ('philosophische eudaimonie', 0.5263), ('eudaimonistischen lebensziel', 0.5237), ('unterschiedlichen eudaimonievorstellungen', 0.5235)]"
594,464185_cleaned,"[('filmtechnisch gleichzeitige', 0.6485), ('vorlage filmspezifischen', 0.6443), ('natürlichkeit filmtechnisch', 0.6404), ('deutsches filmmuseum', 0.6221), ('film leitmotivischen', 0.6146)]"
595,11715533_cleaned,"[('kreuzbauten hamburgs', 0.6852), ('kreuzbauten hamburg', 0.6583), ('kreuzbau hamburg', 0.6437), ('klassenhäusern hamburg', 0.6221), ('schulgebäuden hamburgs', 0.6005)]"
596,528698_cleaned,"[('teichrallen artgenossen', 0.5067), ('teichrallen europa', 0.4992), ('teichhühner gallinula', 0.4935), ('teichrallen freilebende', 0.491), ('chloropus teichhuhn', 0.4801)]"
597,3541537_cleaned,"[('coreta euploea', 0.5401), ('euploea coreta', 0.5346), ('core euploea', 0.53), ('superspezies euploea', 0.5075), ('euploea core', 0.4922)]"
598,920880_cleaned,"[('wassertreter phalaropodidae', 0.6503), ('phalaropidae', 0.6159), ('phalaropodidae', 0.6139), ('phalaropodidae phalaropidae', 0.6074), ('wassertreter phalaropus', 0.5957)]"
599,14705_cleaned,"[('komplexität algorithmisch', 0.6301), ('algorithmen komplexität', 0.6127), ('komplexität algorithmen', 0.6064), ('problemkomplexität optimierungs', 0.6057), ('komplexität algorithmus', 0.6)]"
600,5267361_cleaned,"[('ausstellungsdirektor expo', 0.6472), ('expo canadian', 0.6231), ('canada expo', 0.612), ('ausstellungsort expo', 0.5892), ('expo montreal', 0.5739)]"
601,471097_cleaned,"[('land indianer', 0.5739), ('deportierten indianeragenten', 0.565), ('indian jackson', 0.5482), ('abtransport indianer', 0.5391), ('deportationen indianischer', 0.5319)]"
602,148891_cleaned,"[('blanc metaphorische', 0.5028), ('blanc überragende', 0.4537), ('identische metaphern', 0.4515), ('blanc bixente', 0.4495), ('nationalmannschaft zweitligaspieler', 0.442)]"
603,593719_cleaned,"[('hephaistions alexanders', 0.6815), ('alexanders hephaistion', 0.674), ('hephaistion alexander', 0.6562), ('alexander hephaistion', 0.6483), ('persönlichkeiten alexanderhistorikern', 0.5625)]"
604,34110_cleaned,"[('4px padding', 0.5415), ('padding 4px', 0.5274), ('computer padding', 0.5253), ('padding', 0.5114), ('padding 8px', 0.5094)]"
605,2036723_cleaned,"[('sprache finnischsprachigen', 0.6013), ('schwedischsprachig sprachenstreit', 0.5856), ('sprache schwedischsprachige', 0.5675), ('schwedischsprachigen dienstleistungen', 0.5665), ('finnische sprachenpolitik', 0.5578)]"
606,872059_cleaned,"[('stadtgebiet chantilly', 0.6226), ('tourismuszweig chantilly', 0.6079), ('park chantilly', 0.5964), ('chantilly musée', 0.5932), ('chantilly paris', 0.5792)]"
607,9972829_cleaned,"[('ferrari competizione', 0.6949), ('competizione ferrari', 0.6858), ('ferrari sportwagenrenn', 0.6787), ('motorsport ferrari', 0.6748), ('ferrari models', 0.6733)]"
608,10691044_cleaned,"[('fpi islamischen', 0.6815), ('fpi islamistischen', 0.6432), ('führung islamischen', 0.6349), ('kommunikation islamischen', 0.6333), ('fpi islamische', 0.6242)]"
609,1723_cleaned,"[('fledermaus fledermäuse', 0.66), ('fledermäuse microchiroptera', 0.6599), ('fledermäuse chiroptera', 0.6574), ('fledermauspopulationen', 0.6414), ('fledermäuse fledermäuse', 0.632)]"
610,31631_cleaned,"[('europaeal areas', 0.7312), ('europaea mitteilungen', 0.6887), ('europaea wirksamkeit', 0.6827), ('europaea anwendung', 0.6746), ('europas westen', 0.6702)]"
611,609637_cleaned,"[('zweitnächste sternsystem', 0.7071), ('zugehörigkeit sternbild', 0.6309), ('entfernung sterns', 0.63), ('ceti sterne', 0.6196), ('unterschiedlichen sternmassen', 0.6185)]"
612,156591_cleaned,"[('panzerteilen gürteltierarten', 0.552), ('gürteltiere entwicklungslinien', 0.5307), ('gürteltierformen', 0.5273), ('gürtelmulls panzerfragmenten', 0.5254), ('gürteltieren eindeutig', 0.5236)]"
613,201720_cleaned,"[('boote navy', 0.583), ('klasse navy', 0.531), ('submarine boote', 0.5246), ('ohio boote', 0.5134), ('boote ohio', 0.511)]"
614,103626_cleaned,"[('sommerspiele olympic', 0.6215), ('entscheidungsfreiheit sportler', 0.6143), ('sportverbände entscheidungsfreiheit', 0.5921), ('sport width', 0.5879), ('olympische sport', 0.5743)]"
615,43591_cleaned,"[('primzahlstrände riemannsche', 0.5667), ('problemstellung riemannsche', 0.5406), ('primzahlen riemannsche', 0.5387), ('zufallsprozesses riemannsche', 0.5014), ('schwankungen riemannsche', 0.4982)]"
616,2884658_cleaned,"[('parmenides platons', 0.7264), ('platons parmenides', 0.7261), ('platon parmenides', 0.7253), ('parmenides platon', 0.7202), ('plato parmenides', 0.7171)]"
617,600569_cleaned,"[('doppelkopf turnierspielregeln', 0.6387), ('doppelkopfspiels turnierspielregeln', 0.6345), ('turnierspielregeln doppelkopf', 0.629), ('turnierspielregeln doppelkopfrunde', 0.6191), ('doppelkopfrunde turniers', 0.6163)]"
618,9026_cleaned,"[('kunstbegriffs sozialen', 0.5513), ('beuys anthroposophischen', 0.5485), ('kunstbegriff sozialen', 0.5383), ('beuysschen lehrtätigkeit', 0.5338), ('beuysschen sozialen', 0.5322)]"
619,9321857_cleaned,"[('orange gallische', 0.5922), ('orange interpretation', 0.591), ('bogen orange', 0.5806), ('monument orange', 0.5783), ('orange kostspielig', 0.5781)]"
620,9800533_cleaned,"[('auguste gas', 0.6067), ('gas lorenzo', 0.553), ('gas degas', 0.5233), ('auguste degas', 0.5101), ('auguste gasder', 0.4819)]"
621,161171_cleaned,"[('winterspiele slalom', 0.6373), ('winterspielen alpinen', 0.5592), ('sportstätten winterspielen', 0.5341), ('skidisziplinen slalom', 0.5235), ('bereich skisports', 0.5162)]"
622,202917_cleaned,"[('schweizerische nordostbahn', 0.6943), ('schweizerische nationalbahn', 0.6917), ('winterthur eisenbahnprojekt', 0.6892), ('schweizerische centralbahn', 0.682), ('nordostbahn schweizerische', 0.6785)]"
623,4810509_cleaned,"[('jazzalbum ellingtons', 0.7533), ('ellington jazz', 0.7293), ('ellington orchestra', 0.712), ('ellington band', 0.7046), ('ellingtons band', 0.6977)]"
624,808318_cleaned,"[('stabilisierung reichs', 0.6155), ('militärischen reichselite', 0.5898), ('reichsteils militärkommandeur', 0.5796), ('severus militärherrschaft', 0.5755), ('militärherrschaft', 0.5656)]"
625,2025743_cleaned,"[('corsiaceae arten', 0.7256), ('corsiaceae species', 0.7227), ('corsiaceae', 0.7204), ('art corsiaceae', 0.6968), ('corsiaceae record', 0.6939)]"
626,1408_cleaned,"[('verbreitungsgebiets vogels', 0.5506), ('europas vogelporträts', 0.5031), ('vogel namensgeber', 0.4869), ('vögel europas', 0.4763), ('vogels enten', 0.4652)]"
627,271_cleaned,"[('akkadische afroasiatischen', 0.5351), ('hurritisch akkadische', 0.5264), ('akkadisch aramäischen', 0.5172), ('akkadische amtssprache', 0.5095), ('akkadisch aramäisch', 0.5029)]"
628,5817359_cleaned,"[('parasiten schraubenwurmfliegen', 0.4784), ('schraubenwurmkrankheit screwworm', 0.4737), ('parasiten warmblüter', 0.4632), ('parasiten wundheiler', 0.4564), ('schraubenwurmfliege screwworm', 0.4519)]"
629,2864050_cleaned,"[('apolda kreisstadt', 0.6535), ('apoldaer innenstadt', 0.6528), ('glockenstadt apolda', 0.6501), ('handelsstadt apolda', 0.6487), ('apoldaer heimatstadt', 0.6449)]"
630,59730_cleaned,"[('ostfränkischen reiches', 0.722), ('ostfränkischen reich', 0.6955), ('königsherrschaft ostfränkischen', 0.6946), ('reiches ostfränkischen', 0.6875), ('ungesalbten ostfränkischen', 0.6836)]"
631,25141_cleaned,"[('reformation calvin', 0.7659), ('reformatoren calvin', 0.7614), ('calvin reformation', 0.7575), ('calvin reformatorische', 0.7333), ('calvin reformierte', 0.7293)]"
632,17820_cleaned,"[('computerspielegrafik filmtechnik', 0.609), ('computer graphics', 0.5591), ('animation computergestützte', 0.555), ('anwendung computergrafik', 0.5532), ('anwendungen computergrafik', 0.5519)]"
633,1146395_cleaned,"[('laubfrosch korallenfinger', 0.6323), ('wesens korallenfinger', 0.5979), ('korallenfinger laubfröschen', 0.5856), ('korallenfinger laubfrosch', 0.5822), ('korallenfingers', 0.5807)]"
634,4601160_cleaned,"[('nutzenfunktion marshallsche', 0.4953), ('nutzenmaximierungsproblem ausgabenminimierungsproblem', 0.4872), ('güterbündel nutzenmaximierend', 0.4832), ('budgetrestriktion güterbündel', 0.4822), ('marshallschen nachfragefunktionen', 0.4766)]"
635,272273_cleaned,"[('hämochromatose patienten', 0.8183), ('diagnose hämochromatose', 0.7996), ('hämochromatose wesentlich', 0.7994), ('hämochromatose hämochromatose', 0.7946), ('hämochromatose häufigste', 0.7924)]"
636,555697_cleaned,"[('rasiermesser art', 0.6612), ('bedeutung rasiermessers', 0.6543), ('rasiermesser', 0.6268), ('rasur rasiermesser', 0.6241), ('rasiermesserklingen grundlage', 0.6237)]"
637,10835_cleaned,"[('fossilen blattes', 0.5016), ('wahrscheinlichkeit fossilen', 0.4694), ('fangblätter blattstiel', 0.4537), ('blattgrund luftgefüllte', 0.4235), ('zweitältesten fossilfund', 0.4051)]"
638,312616_cleaned,"[('würzburger stadtbefestigung', 0.4884), ('stadtbefestigung geschützte', 0.4802), ('festspiele stadt', 0.4781), ('hochstifts stadtbefestigung', 0.4777), ('steinmetzmuseum festungsgaststätte', 0.4765)]"
639,497781_cleaned,"[('martin mini', 0.4916), ('st martin', 0.4849), ('rheindepartements martinskloster', 0.4777), ('kirchengeschichte st', 0.4663), ('martinskloster richtlinie', 0.466)]"
640,233649_cleaned,"[('nationalversammlung senatoren', 0.5618), ('regierungserklärung senatoren', 0.5524), ('vereinigte senatoren', 0.5145), ('amtszeiten senatoren', 0.511), ('verfassungsänderung senatoren', 0.5106)]"
641,471076_cleaned,"[('brunswick andrew', 0.4786), ('brunswick', 0.4769), ('union commonwealth', 0.4606), ('commonwealth staaten', 0.4592), ('new brunswick', 0.456)]"
642,28179_cleaned,"[('stevenson studies', 0.7512), ('stevenson robert', 0.7485), ('robert stevenson', 0.7454), ('stevenson', 0.7384), ('louis stevenson', 0.7382)]"
643,231988_cleaned,"[('hausrotschwanz phoenicurus', 0.6), ('bezeichnung phoenicurus', 0.5682), ('phoenicurus ochruros', 0.5568), ('beschreibung phoenicurus', 0.5564), ('phoenicurus phoenicurus', 0.5101)]"
644,5429746_cleaned,"[('vegetation goldaugenspringspinne', 0.6336), ('goldaugenspringspinne springspinnen', 0.6307), ('goldaugen springspinne', 0.6193), ('goldäugige springspinne', 0.6107), ('goldaugenspringspinne mediterranen', 0.6065)]"
645,171941_cleaned,"[('hahnenfußgewächse ranunculaceae', 0.5559), ('ranunculaceae', 0.5153), ('ranunculaceae nordhalbkugel', 0.4895), ('flora deutschland', 0.448), ('palustris flora', 0.4463)]"
646,49986_cleaned,"[('schumacher politikkonzeptionen', 0.6709), ('schichten schumachers', 0.6488), ('spd schumacher', 0.6471), ('unantastbarkeit schumachers', 0.6463), ('schumacher politik', 0.6361)]"
647,290_cleaned,"[('länderinformationen argentinien', 0.7076), ('argentiniens vegetation', 0.6381), ('länderspiel argentinischen', 0.62), ('argentinier land', 0.6171), ('argentiniens ariden', 0.6155)]"
648,2844130_cleaned,"[('monographie platos', 0.5119), ('platons literarischen', 0.5079), ('platons beschreibung', 0.5038), ('platon literarischen', 0.5014), ('dialektikers platons', 0.499)]"
649,10175124_cleaned,"[('islams jakarta', 0.7207), ('jakarta islamic', 0.7103), ('muslime jakarta', 0.6602), ('indonesian islam', 0.6386), ('debatte jakarta', 0.6316)]"
650,1239508_cleaned,"[('fe trail', 0.5406), ('trail history', 0.5308), ('mexico highways', 0.5275), ('fe trails', 0.5142), ('historic trail', 0.4935)]"
651,1032875_cleaned,"[('motorsport edouard', 0.6475), ('ceverts motorsportengagement', 0.6248), ('ceverts motorsportkarriere', 0.6238), ('entscheidung motorsportaufsichtsbehörde', 0.5858), ('ceverts sportwagenengagement', 0.5752)]"
652,6633835_cleaned,"[('concert central', 0.6398), ('garfunkel concert', 0.5629), ('garfunkels concert', 0.5559), ('concert', 0.5265), ('central park', 0.509)]"
653,3074136_cleaned,"[('kleinkirchheim bad', 0.7131), ('kleinkirchheim region', 0.6939), ('region kleinkirchheim', 0.6855), ('bad kleinkirchheims', 0.6837), ('mini kleinkirchheim', 0.6826)]"
654,142200_cleaned,"[('bahnstrecke tunnel', 0.5808), ('verschiedene tunnel', 0.5398), ('tunnel grenzverschiebung', 0.5392), ('tunnel angegebenen', 0.5362), ('verschiedenen tunneln', 0.5325)]"
655,2668691_cleaned,"[('charmides platons', 0.6766), ('platons charmides', 0.6732), ('charmides philosophisches', 0.6719), ('platon charmides', 0.6716), ('charmides platon', 0.6636)]"
656,357942_cleaned,"[('schermützelsee kilometer', 0.6277), ('schermützelsees stadt', 0.5995), ('wasserspiegels schermützelsee', 0.5975), ('entwicklung schermützelsees', 0.572), ('schermützel slawische', 0.5636)]"
657,701534_cleaned,"[('marine heterotardigrada', 0.5174), ('untersuchungen heterotardigrada', 0.4779), ('bärtierchen heterotardigrada', 0.4736), ('heterotardigrada verhärtungen', 0.4661), ('ordnung arthrotardigrada', 0.4401)]"
658,8176926_cleaned,"[('choanozoa kragengeißelzellen', 0.6472), ('choanozoa entwicklung', 0.6404), ('choanozoa kragengeißelzelle', 0.6401), ('gleichzeitig choanozoa', 0.6398), ('choanozoa versteinerungen', 0.6376)]"
659,184476_cleaned,"[('stadtgebiet landschaftsformen', 0.5574), ('landkreisstruktur ostfriesland', 0.5507), ('niedersächsischen landesamtes', 0.5432), ('landwirtschaft flächennutzung', 0.5418), ('stadt ostfrieslands', 0.5371)]"
660,1717242_cleaned,"[('bundeskanzlers parteiangelegenheiten', 0.4482), ('erpressbarkeit bundesregierung', 0.4374), ('guillaume öffentlichkeit', 0.433), ('guillaume agentin', 0.4239), ('agentin spionagetätigkeit', 0.406)]"
661,156219_cleaned,"[('ortler bergsteigern', 0.5536), ('südtiroler bergtouren', 0.5426), ('ortlergeschütze österreichischen', 0.5376), ('berggipfel ortler', 0.5315), ('bergfräuleins ortler', 0.5311)]"
662,43219_cleaned,"[('hummelarbeiterinnen fliegen', 0.5288), ('hummelköniginnen nestbautrieb', 0.5168), ('nestern hummelvölkern', 0.5143), ('hummelarbeiterinnen', 0.5107), ('hummeln geringen', 0.5084)]"
663,50402_cleaned,"[('xanten märtyrer', 0.5886), ('märtyrergräber literatur', 0.5285), ('xanten seniorenheime', 0.5202), ('xantener stadtkerns', 0.5178), ('stadtteile xantens', 0.5117)]"
664,10190764_cleaned,"[('anwerbepolitik bundesrepublik', 0.5646), ('gastarbeiter bundesrepublik', 0.5553), ('bundesregierung werkvertragsarbeitnehmerabkommen', 0.5415), ('gastarbeiterzeitschriften bundesrepublik', 0.5407), ('bundesrepublik türkei', 0.5295)]"
665,5662863_cleaned,"[('polo palazzo', 0.5647), ('barbarigo palazzo', 0.5327), ('polo canal', 0.5325), ('palazzo barbarigo', 0.5314), ('benachbarten palazzo', 0.4901)]"
666,111271_cleaned,"[('schneeleopard nepalesischer', 0.6208), ('schneeleopard chinas', 0.5694), ('schneeleopard zentriert', 0.5639), ('schneeleopard asiatischen', 0.5603), ('pantherinae zentralasiatischen', 0.5518)]"
667,496895_cleaned,"[('london wilds', 0.5215), ('wild wolverhampton', 0.5097), ('dienstherrn wolverhampton', 0.4832), ('londoner zeitungen', 0.4742), ('wild zeitungen', 0.4624)]"
668,41888_cleaned,"[('liliaceae liliales', 0.7557), ('species liliaceae', 0.7288), ('liliaceae lilium', 0.7266), ('liliengewächse liliaceae', 0.7243), ('lilium liliaceae', 0.723)]"
669,1649680_cleaned,"[('albums trio', 0.6456), ('trio album', 0.6196), ('album trio', 0.6185), ('trio musik', 0.5885), ('trio band', 0.5885)]"
670,1464_cleaned,"[('familienbezeichnung elephantidae', 0.601), ('elefanten elephantidae', 0.5672), ('elephantidae hassane', 0.5443), ('elephantidae familie', 0.5399), ('landschaftsräumen elefanten', 0.5147)]"
671,766619_cleaned,"[('reformierten stadtkirche', 0.6639), ('reformierte stadtkirche', 0.6558), ('stadtkirche reformierte', 0.6472), ('wien reformierten', 0.5737), ('reformierten kirchenblatts', 0.5687)]"
672,5011607_cleaned,"[('comics dagoberts', 0.5465), ('geschichten dagoberts', 0.5418), ('geschichten comics', 0.5391), ('comics dagobert', 0.526), ('geschichten dagobert', 0.5152)]"
673,3373891_cleaned,"[('nördlichen bahnhofsvorplatz', 0.7229), ('görlitz bahnhof', 0.7182), ('bahnhofes görlitz', 0.7147), ('der bahnhofsvorplatz', 0.7114), ('görlitz bahnhofskomplex', 0.7053)]"
674,828511_cleaned,"[('volksentscheid fürstenenteignung', 0.4846), ('volksentscheid wirtschaftlichen', 0.4788), ('parteien reichslandbund', 0.477), ('demokratischen deutschland', 0.4735), ('volksbegehren fürstenenteignung', 0.4699)]"
675,4706628_cleaned,"[('holocaustreferenz eichmanns', 0.5177), ('holocaustforschung intensiv', 0.5057), ('pdf holocaustreferenz', 0.498), ('wannseekonferenz holocaust', 0.4897), ('nationalsozialistischen reichsregierung', 0.4773)]"
676,411602_cleaned,"[('krankheitsbild zoonose', 0.46), ('atemtrakt rotzveränderungen', 0.4564), ('malleinprobe veterinärmedizinischen', 0.4371), ('rotztypischer veränderungen', 0.4238), ('agglutinationsreaktion rotzerregern', 0.4213)]"
677,103285_cleaned,"[('sportartikelunternehmens inoffizielle', 0.591), ('anthropologie sportdirektor', 0.5378), ('viertel athleten', 0.5362), ('sportfachleuten wissenschaftlern', 0.5348), ('europäischer athleten', 0.5336)]"
678,1433805_cleaned,"[('wong anna', 0.6493), ('anna wongs', 0.6317), ('anna wong', 0.6309), ('wongs filme', 0.6306), ('filme wong', 0.6296)]"
679,2821098_cleaned,"[('berlin markthalle', 0.6614), ('berlins markthallenkomplex', 0.6461), ('markthalle berlin', 0.6146), ('markthallen berlinische', 0.61), ('markthallen berlins', 0.6078)]"
680,41453_cleaned,"[('marienkäfer coccinellidae', 0.6382), ('marienkäfer coleoptera', 0.5196), ('marienkäfer coccinella', 0.5134), ('marienkäfers marienkäfer', 0.5056), ('gleichzeitig marienkäfer', 0.4957)]"
681,15069_cleaned,"[('canberra stadtstruktur', 0.7193), ('stadtteile canberras', 0.7183), ('stadtteile canberra', 0.7171), ('canberra landwirtschaftsmesse', 0.7131), ('stadtrates canberra', 0.7129)]"
682,1624328_cleaned,"[('sauergrasgewächse cyperaceae', 0.5764), ('cyperaceae', 0.5575), ('cyperaceae weitere', 0.5392), ('vegetation langfristig', 0.5302), ('vegetation', 0.5161)]"
683,74835_cleaned,"[('stadterhebung perg', 0.7082), ('städtepartnerschaft perg', 0.7069), ('perg städtepartnerschaft', 0.7028), ('stadtgebiet perg', 0.6909), ('perg stadterhebung', 0.6885)]"
684,316669_cleaned,"[('syrakus tyrannenherrschaft', 0.6648), ('syrakusischen autokraten', 0.609), ('syrakusische oberherrschaft', 0.5905), ('syrakus beschuldigung', 0.5883), ('syrakusischen oligarchen', 0.5883)]"
685,47216_cleaned,"[('indischer leopard', 0.6417), ('westafrikanischer leopard', 0.6411), ('südafrikanischer leopard', 0.6405), ('afrikanischer leopard', 0.636), ('chinesischer leopard', 0.6305)]"
